iter	Passed	Remaining
0	167	7722
1	179	4039
2	189	2776
3	200	2156
4	212	1784
5	223	1529
6	236	1350
7	247	1208
8	259	1095
9	271	1004
10	283	928
11	295	861
12	305	800
13	316	746
14	329	701
15	340	660
16	352	622
17	364	587
18	375	553
19	387	523
20	404	500
21	422	480
22	438	457
23	452	433
24	463	407
25	476	384
26	489	362
27	502	341
28	514	319
29	527	299
30	542	279
31	555	260
32	565	240
33	578	221
34	590	202
35	603	184
36	621	168
37	633	150
38	644	132
39	657	115
40	671	98
41	699	83
42	714	66
43	727	49
44	740	32
45	752	16
46	763	0
